iter	MAE
493	5.530848874
494	5.530640354
495	5.53043509
496	5.530275568
497	5.530133426
498	5.530000237
499	5.529823079
500	5.529594448
501	5.52954026
502	5.529339007
503	5.529184225
504	5.528882387
505	5.52870944
506	5.528491851
507	5.528189723
508	5.527876071
509	5.527681309
510	5.527437724
511	5.527298667
512	5.527038233
513	5.526822801
514	5.526730322
515	5.526515336
516	5.526398848
517	5.526273105
518	5.526105035
519	5.525898518
520	5.525739532
521	5.525587797
522	5.52538896
523	5.525232081
524	5.524996749
525	5.524895969
526	5.52470051
527	5.524595023
528	5.524427723
529	5.524244637
530	5.524076129
531	5.523863412
532	5.523680844
533	5.523593778
534	5.523253301
535	5.523079336
536	5.522905193
537	5.522768376
538	5.52258218
539	5.522470729
540	5.522301339
541	5.522081009
542	5.521960357
543	5.521844712
544	5.521698141
545	5.521550717
546	5.521309913
547	5.521198588
548	5.521068232
549	5.520863889
550	5.520521018
551	5.520358287
552	5.520129058
553	5.519962312
554	5.519712127
555	5.519522908
556	5.519343057
557	5.519076781
558	5.518920974
559	5.518721366
560	5.518487446
561	5.518297837
562	5.517925815
563	5.517689232
564	5.517572556
565	5.517368215
566	5.517178635
567	5.517023606
568	5.516887748
569	5.51670653
570	5.516483882
571	5.51633113
572	5.516138329
573	5.5159794
574	5.515858103
575	5.515725997
576	5.515559694
577	5.515372887
578	5.515230796
579	5.51512582
580	5.514986352
581	5.514706371
582	5.514383527
583	5.514234501
584	5.514107848
585	5.513951221
586	5.513721618
587	5.513545552
588	5.513423228
589	5.513348257
590	5.513186063
591	5.51299876
592	5.512788496
593	5.512666051
594	5.512564696
595	5.512465903
596	5.512309241
597	5.512129632
598	5.512005073
599	5.511796982
600	5.511637153
601	5.511463149
602	5.511218504
603	5.511068526
604	5.510823256
605	5.510538791
606	5.510359378
607	5.510182708
608	5.510026282
609	5.5098326
610	5.509666717
611	5.509496115
612	5.509268003
613	5.509053695
614	5.508818304
615	5.50858772
616	5.50839331
617	5.508150139
618	5.50798111
619	5.507783009
620	5.507533903
621	5.507386491
622	5.507204155
623	5.50702487
624	5.506799229
625	5.506598829
626	5.506419272
627	5.506281134
628	5.505980444
629	5.505779871
630	5.505661836
631	5.505453157
632	5.505283213
633	5.505159823
634	5.504991808
635	5.504885218
636	5.504680556
637	5.504507286
638	5.504174569
639	5.504028663
640	5.503804654
641	5.503542827
642	5.503364254
643	5.503194217
644	5.503044721
645	5.502950357
646	5.5027654
647	5.502622621
648	5.50247899
649	5.502257082
650	5.502095437
651	5.50191999
652	5.501700455
653	5.501555432
654	5.501467827
655	5.501388602
656	5.501239405
657	5.501057147
658	5.500980399
659	5.500916417
660	5.500841799
661	5.500631403
662	5.500485726
663	5.500360883
664	5.500180402
665	5.49997548
666	5.499825187
667	5.499680026
668	5.499406034
669	5.499337615
670	5.499121924
671	5.498857998
672	5.498683035
673	5.498379246
674	5.498185274
675	5.498015893
676	5.497878784
677	5.497738173
678	5.497513209
679	5.497302722
680	5.497068414
681	5.496917818
682	5.49672841
683	5.496569619
684	5.496404979
685	5.49630592
686	5.496145327
687	5.495986843
688	5.495827679
689	5.495657846
690	5.495451869
691	5.49534935
692	5.495228967
693	5.495075724
694	5.494928328
695	5.494762528
696	5.494664494
697	5.494515168
698	5.494294967
699	5.494165055
700	5.494037395
701	5.493907495
702	5.493789125
703	5.493612295
704	5.493473488
705	5.493373171
706	5.49318273
707	5.492987473
708	5.492840804
709	5.492570973
710	5.492455861
711	5.492280041
712	5.492043895
713	5.491880471
714	5.491718652
715	5.49164291
716	5.491476666
717	5.491349959
718	5.49125654
719	5.491075476
720	5.490892638
721	5.490803071
722	5.490584037
723	5.490422195
724	5.490235318
725	5.489984026
726	5.489785871
727	5.489666123
728	5.489484175
729	5.489355674
730	5.489138863
731	5.488931756
732	5.488707879
733	5.488605451
734	5.488470445
